City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ribeira Grande,PT,38.5167,-28.7,65.16,87,100,7.65,overcast clouds
80,Muzhi,RU,65.3667,64.6667,37.96,64,6,5.55,clear sky
81,Reconquista,AR,-29.15,-59.65,58.59,52,14,11.7,few clouds
82,Dikson,RU,73.5069,80.5464,29.35,92,100,11.97,overcast clouds
83,Santona,ES,43.4439,-3.4576,62.08,89,82,2.04,broken clouds
84,Quzhou,CN,28.9594,118.8686,69.6,83,78,5.32,broken clouds
85,Santiago,CL,-33.4569,-70.6483,62.17,61,90,0.0,haze
86,Paamiut,GL,61.994,-49.6678,38.16,98,100,3.13,light rain
87,Bluff,NZ,-46.6,168.3333,49.8,80,61,8.32,broken clouds
88,Marawi,PH,7.9986,124.2928,64.65,86,99,1.9,overcast clouds
89,Sitka,US,57.0531,-135.33,53.49,71,90,4.61,light rain
90,Hithadhoo,MV,-0.6,73.0833,82.74,73,11,12.35,few clouds
91,Kaoma,ZM,-14.7833,24.8,50.47,67,69,5.91,broken clouds
92,Hobyo,SO,5.3505,48.5268,78.37,89,25,23.31,scattered clouds
93,Sistranda,NO,63.7256,8.834,54.9,94,53,12.71,broken clouds
94,San Quintin,MX,30.4833,-115.95,65.57,64,13,10.78,few clouds
95,Maarianhamina,AX,60.0973,19.9348,51.66,82,0,0.0,clear sky
96,Kpalime,TG,6.9,0.6333,72.43,96,34,2.39,scattered clouds
97,Pringsewu,ID,-5.3582,104.9744,73.44,96,73,4.81,broken clouds
98,Vostok,RU,46.4856,135.8833,60.08,58,73,4.05,broken clouds
99,Matay,EG,28.419,30.7792,71.37,47,0,16.13,clear sky
100,Klaksvik,FO,62.2266,-6.589,50.92,99,100,15.57,overcast clouds
101,Nova Vicosa,BR,-17.8919,-39.3719,73.54,83,8,6.02,clear sky
102,Saint-Augustin,CA,51.226,-58.6502,54.97,56,64,12.17,broken clouds
103,Katsuura,JP,35.1333,140.3,72.19,90,97,1.14,overcast clouds
104,Rikitea,PF,-23.1203,-134.9692,76.77,83,98,15.23,overcast clouds
