City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
410,Patur,IN,85.78,broken clouds,20.45,76.9333,Hotel Rana Washim Road Patur
413,Senneterre,CA,88.02,scattered clouds,48.3835,-77.2328,Motel Senabi
415,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
420,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
422,Conceicao Do Araguaia,BR,84.33,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
427,Kiunga,PG,75.2,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
429,Magnolia,US,84.38,broken clouds,33.2671,-93.2393,Budget Inn
430,Salinas,US,82.47,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
444,Yanam,IN,80.96,few clouds,16.7333,82.2167,The Regency Hotel
447,Iberia,US,84.97,broken clouds,29.9502,-91.7507,back to back rv park
448,Balikpapan,ID,76.8,light rain,-1.2675,116.8289,ibis Balikpapan
450,Bud,US,80.94,overcast clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
455,Samarai,PG,78.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
465,Havelock,US,84.43,broken clouds,34.8791,-76.9013,Sherwood Motel
467,Mandera,KE,80.2,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
470,Fare,PF,80.69,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
471,Tarboro,US,88.18,broken clouds,35.8968,-77.5358,SureStay Plus Hotel Tarboro by Best Western
477,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
479,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
481,Eydhafushi,MV,82.62,overcast clouds,5.1033,73.0708,Soneva Fushi
482,Orange,US,87.62,broken clouds,33.7,-117.7675,Meadows
487,Jibuti,DJ,85.42,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
491,Mamallapuram,IN,85.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
493,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
497,Caibarien,CU,85.32,scattered clouds,22.5206,-79.4669,La Nena
498,Loa Janan,ID,75.0,overcast clouds,-0.583,117.095,Pondok hijau 2A
503,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
506,Yichang,CN,78.31,overcast clouds,30.7144,111.2847,Gezhouba Hotel
511,Basco,PH,83.89,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
512,Diamantino,BR,78.37,broken clouds,-14.4086,-56.4461,Hotel Delta
514,Celestun,MX,84.11,overcast clouds,20.8667,-90.4,Posada Lilia
517,Lompoc,US,76.78,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
518,Bandarbeyla,SO,78.87,clear sky,9.4942,50.8122,JABIR HOTEL
521,Brown Deer,US,87.71,broken clouds,43.1633,-87.9645,Courtyard by Marriott Milwaukee North/Brown Deer
522,Baracoa,CU,79.65,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
524,Sur,OM,83.82,clear sky,22.5667,59.5289,Sur Plaza Hotel
529,Kenora,CA,78.19,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
530,Salinopolis,BR,77.79,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
531,Vasudevanallur,IN,78.08,overcast clouds,9.2333,77.4167,PONISHA HARENI HOMES
537,Belmonte,BR,77.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
539,Lae,PG,81.01,broken clouds,-6.7221,146.9847,Phils Hotel
540,Axim,GH,79.14,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
543,Lazaro Cardenas,MX,87.44,overcast clouds,17.9583,-102.2,quinta antigua
551,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
554,Sabha,LY,82.11,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
558,Matara,LK,78.22,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
561,Vanimo,PG,78.62,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
564,Manokwari,ID,79.77,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
565,Miraflores,MX,77.65,overcast clouds,19.2167,-98.8083,Hotel Mansión
576,Council Bluffs,US,85.05,broken clouds,41.2619,-95.8608,"Holiday Inn Express & Suites Council Bluffs - Conv Ctr Area, an IHG Hotel"
588,Porto Walter,BR,76.53,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
589,Halifax,CA,75.09,overcast clouds,44.6453,-63.5724,Hotel Halifax
590,Yunyang,CN,76.98,overcast clouds,33.4474,112.7142,Post & Telecom Hotel
592,Loreto,MX,82.71,few clouds,22.2667,-101.9667,José de Jesús Velásquez mora
593,Kieta,PG,82.51,light rain,-6.2167,155.6333,Uruna Bay Retreat
605,Nabire,ID,78.01,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
606,Singaraja,ID,77.65,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
607,Wilmington,US,80.98,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
609,Biabou,VC,82.49,broken clouds,13.2,-61.1333,Spring Garden Resort
610,Les Cayes,HT,82.06,scattered clouds,18.2,-73.75,Villa Orphee
611,Scottsbluff,US,89.83,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
614,Mana,GF,76.14,overcast clouds,5.6592,-53.7767,LE SAMANA
621,Jiazi,CN,77.02,scattered clouds,22.8779,116.06700000000001,Hotel Jin Hao
623,Bondoukou,CI,75.52,few clouds,8.0333,-2.8,Prestige Hotel
626,Virginia Beach,US,89.71,broken clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
627,Banjar,ID,78.66,few clouds,-8.19,114.9675,The Hamsa Resort
630,Progreso,MX,84.97,broken clouds,21.2833,-89.6667,Playa Linda Hotel
631,Sao Felix Do Xingu,BR,81.12,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
634,Gouyave,GD,81.37,few clouds,12.1646,-61.7296,Rumboat Retreat
639,Awbari,LY,83.62,overcast clouds,26.5921,12.7805,فندق أوباري
640,Mogadishu,SO,78.82,scattered clouds,2.0371,45.3438,Hotel Juba
642,Galle,LK,79.88,overcast clouds,6.0367,80.217,Amangalla
643,Bhanpura,IN,87.85,broken clouds,24.513,75.7469,Bakshash
644,Sikeston,US,78.98,broken clouds,36.8767,-89.5879,Drury Inn & Suites Sikeston
648,Rancho Palos Verdes,US,81.93,scattered clouds,33.7445,-118.387,Terranea Resort
655,Kavaratti,IN,82.08,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
658,Anau,PF,80.91,broken clouds,-16.5167,-151.7333,InterContinental Bora Bora Resort Thalasso Spa
660,High Rock,BS,84.22,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
663,Manaus,BR,86.5,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
665,Bozhou,CN,79.81,light rain,33.8772,115.7703,Haitian Hotel
668,Qiongshan,CN,78.78,clear sky,20.0058,110.3542,Sun City Restaurant
669,Panacan,PH,78.91,overcast clouds,9.2463,118.4082,Mom's Place Resort
677,La Asuncion,VE,83.93,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
684,Linfen,CN,84.52,overcast clouds,36.0889,111.5189,Suoxing Hotel
690,Singkang,MY,75.09,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
692,Craig,US,85.19,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
695,Duartina,BR,79.95,broken clouds,-22.4144,-49.4039,Hotel Mattos Guimaro
706,Vung Tau,VN,82.44,overcast clouds,10.345999999999998,107.0843,Green hotel
707,Bonito,BR,79.61,broken clouds,-21.1211,-56.4819,Marruá Hotel
709,Cheyenne,US,79.12,scattered clouds,41.14,-104.8203,The Historic Plains Hotel & Restaurant
